Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.043;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17XNoStop@114;Agent17PS2@115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.261;61;;60rounds;Yes;No;2;0.68838;0.75562;0.17724;0.19805;1.44400;Agent17Submit@116;Agent17PS2@117;0.6883761051332531;0.7556241428375591;0.6883761051332531;0.7556241428375591;0.4933232856277502;0.7879973816746656;0.0;0.0;0.6883761051332531;0.7556241428375591;party1_utility.xml;party2_utility.xml
0.038;56;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17PS3@118;Agent17PS2@119;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17PS2@120;Agent17PS2@121;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17PS@122;Agent17PS2@123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17Mu3@124;Agent17PS2@125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.042;60;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17Mu2@126;Agent17PS2@127;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.040;59;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17Mu@128;Agent17PS2@129;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.039;57;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17X@130;Agent17PS2@131;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.035;54;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;BoulwareNegotiationParty@132;Agent17PS@133;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.038;56;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;AgreeableAgent2018@134;Agent17PS@135;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.041;60;;60rounds;Yes;No;2;0.75506;0.80464;0.10394;0.12749;1.55970;Agent17XNoStop@136;Agent17PS@137;0.7550577364334331;0.8046416066167466;0.7550577364334331;0.8046416066167466;0.8207543703317902;0.7795374088061999;0.0;0.0;0.7550577364334331;0.8046416066167466;party1_utility.xml;party2_utility.xml
0.252;61;;60rounds;Yes;No;2;0.68973;0.85221;0.10858;0.12198;1.54194;Agent17Submit@138;Agent17PS@139;0.6897326042523931;0.8522103358337141;0.6897326042523931;0.8522103358337141;0.4793842094816587;0.7748747936044765;0.0;0.0;0.6897326042523931;0.8522103358337141;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17PS3@140;Agent17PS@141;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.039;56;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17PS2@142;Agent17PS@143;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
