sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0.091;53;;60rounds;Yes;No;4;0.48730;0.85304;0.09417;0.51487;2.59374;ConcederNegotiationParty@80;BoulwareNegotiationParty@81;ConcederNegotiationParty@82;BoulwareNegotiationParty@83;0.4872990210519366;0.49151873654955663;0.853036721167466;0.7618894126438379;0.4872990210519366;0.49151873654955663;0.853036721167466;0.7618894126438379;0.32600375890604594;0.6301885296108123;0.6122069330831549;0.7308563908431549;0.0;0.0;0.0;0.0;0.4872990210519366;0.49151873654955663;0.853036721167466;0.7618894126438379;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.106;56;;60rounds;Yes;No;4;0.61370;0.78345;0.09941;0.24770;2.75559;BoulwareNegotiationParty@84;Agent17@85;ConcederNegotiationParty@86;BoulwareNegotiationParty@87;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;0.747252830424138;0.36926630975024277;0.5639875229304756;0.504859924032782;0.0;0.0;0.0;0.0;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.112;54;;60rounds;Yes;No;4;0.62531;0.86571;0.00000;0.14967;2.95069;Agent17@88;Agent17@89;ConcederNegotiationParty@90;BoulwareNegotiationParty@91;0.8657132386231943;0.7218681791762096;0.6253122156857849;0.737795814778623;0.8657132386231943;0.7218681791762096;0.6253122156857849;0.737795814778623;0.7885619246523592;0.6372449125386681;0.3291189121544921;0.6000670168953219;0.0;0.0;0.0;0.0;0.8657132386231943;0.7218681791762096;0.6253122156857849;0.737795814778623;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.107;54;;60rounds;Yes;No;4;0.71606;0.80234;0.00000;0.18685;3.00703;ConcederNegotiationParty@92;Agent17@93;ConcederNegotiationParty@94;BoulwareNegotiationParty@95;0.7389096642668381;0.7160593717689371;0.8023375839299837;0.7497230060074467;0.7389096642668381;0.7160593717689371;0.8023375839299837;0.7497230060074467;0.7438787559090303;0.6302426333601142;0.5693707905262674;0.6009981683035966;0.0;0.0;0.0;0.0;0.7389096642668381;0.7160593717689371;0.8023375839299837;0.7497230060074467;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.087;51;;60rounds;Yes;No;4;0.35553;0.84819;0.00000;0.49559;2.82556;BoulwareNegotiationParty@96;ConcederNegotiationParty@97;ConcederNegotiationParty@98;BoulwareNegotiationParty@99;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;0.6779316900182678;0.20533362843803593;0.7919546114950118;0.6982698454377207;0.0;0.0;0.0;0.0;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.083;44;;60rounds;Yes;No;4;0.42924;0.94042;0.00000;0.45094;2.91401;Agent17@100;ConcederNegotiationParty@101;ConcederNegotiationParty@102;BoulwareNegotiationParty@103;0.8957428911425758;0.42923783184116543;0.6486091316343259;0.9404175859903591;0.8957428911425758;0.42923783184116543;0.6486091316343259;0.9404175859903591;0.7236225077359135;0.3531319751489042;0.5824563397482141;0.9039791245568084;0.0;0.0;0.0;0.0;0.8957428911425758;0.42923783184116543;0.6486091316343259;0.9404175859903591;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.057;30;;60rounds;Yes;No;4;0.37187;0.95243;0.00000;0.59419;2.87173;ConcederNegotiationParty@104;ConcederNegotiationParty@105;ConcederNegotiationParty@106;BoulwareNegotiationParty@107;0.6137354961042047;0.37187198258220505;0.9336940639944273;0.9524282207813943;0.6137354961042047;0.37187198258220505;0.9336940639944273;0.9524282207813943;0.5181441156599962;0.3248158686066681;0.9223685694622341;0.9999999999999999;0.0;0.0;0.0;0.0;0.6137354961042047;0.37187198258220505;0.9336940639944273;0.9524282207813943;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.108;59;;60rounds;Yes;No;4;0.58108;0.75396;0.06959;0.35363;2.64003;BoulwareNegotiationParty@108;BoulwareNegotiationParty@109;BoulwareNegotiationParty@110;Agent17@111;0.5810778358794707;0.6145008196597999;0.7539573151316067;0.6904912255868364;0.5810778358794707;0.6145008196597999;0.7539573151316067;0.6904912255868364;0.4676055428981262;0.5301151828694362;0.6648362458016503;0.7293967351712353;0.0;0.0;0.0;0.0;0.5810778358794707;0.6145008196597999;0.7539573151316067;0.6904912255868364;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.128;61;;60rounds;No;No;1;0.00000;0.00000;1.36268;1.58067;0.00000;Agent17@112;BoulwareNegotiationParty@113;BoulwareNegotiationParty@114;Agent17@115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.121;59;;60rounds;Yes;No;4;0.39926;0.77280;0.13748;0.48965;2.56812;ConcederNegotiationParty@116;BoulwareNegotiationParty@117;BoulwareNegotiationParty@118;Agent17@119;0.6341320021682197;0.39925579939178074;0.7727950946357308;0.7619356085058884;0.6341320021682197;0.39925579939178074;0.7727950946357308;0.7619356085058884;0.5640026646108903;0.34814247678958193;0.729157629914781;0.47958173216529065;0.0;0.0;0.0;0.0;0.6341320021682197;0.39925579939178074;0.7727950946357308;0.7619356085058884;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
